,Topic,Count,Name,Representation,Representative_Docs
0,-1,17757,-1_light_object_like_lights,"['light', 'object', 'like', 'lights', 'bright', 'moving', 'white', 'flying', 'objects', 'shaped']","['bright light moving, Big bright light, straight line, huge bright light', 'white light hovering, Driving home, bright white light, small red lights', 'bright object moving, round bright object']"
1,0,18158,0_orb_light_white_object,"['orb', 'light', 'white', 'object', 'shaped', 'bright', 'moving', 'like', 'lights', 'orange']","['orb flying fast, Saw flying orb, flying orb', 'sky changed direction, light moving fast, Bright light moving', 'Bright white light, White Light Slow, Bright White Light']"
2,1,95,1_meditation_felt_feeling_energy,"['meditation', 'felt', 'feeling', 'energy', 'loving', 'experience', 'psychic', 'love', 'telepathic', 'telepathy']","['pm outside meditation, bright star', 'meditation local time, 9:00 meditation local, benevolent loving energy', 'HU meditation felt']"
3,2,87,2_ve_didn_couldn_don,"['ve', 'didn', 'couldn', 'don', 'it', 'wasn', 'mind', 'know', 'eye', 'that']","['seen fire ðŸ, ™ ve got, Iâ€ ™ ve, ve got photo', 'Iâ€ ™ ve, time Iâ€ ™, ™ ve seen', 'Iâ€ ™ ve, ™ ve felt']"
4,3,45,3_large_sizes_bigger_smaller,"['large', 'sizes', 'bigger', 'smaller', 'size', 'giant', 'getting', 'big', 'midland', 'wormhole']","['pretty good size, started getting noticed', 'smaller ones like, huge objects came', 'larger sizes, sizes \n\n Cluster']"
5,4,44,4_tall_humanoid_entity_figure,"['tall', 'humanoid', 'entity', 'figure', 'lizard', 'human', 'shadowy', 'reptilian', 'creature', 'feet']","['Unknown humanoid entity, humanoid entity, unkown humanoid entity', 'eyes \n\n Sighting, glowing eyes, humanoid figure cloaked, tall humanoid figure, ft tall humanoid', 'ft tall dark, tall dark entity, shadowy humanoid figure, dark shadowy humanoid']"
6,5,35,5_home_outside_house_coat,"['home', 'outside', 'house', 'coat', 'walking', 'got', 'itran', 'went', 'walk', 'came']","['white lab coat, cousin house sitting, lab coat .I, coat .I knew, male voice joined', 'got home', 'Walking home']"
7,6,33,6_de_el_en_un,"['de', 'el', 'en', 'un', 'como', 'con', 'que', 'por', 'cielo', 'luego']","['en el cielo, el cielo más, luz en el, luego parpadea más, vi que luego, que luego parpadea, tenue el resto, luego tenue el, hacía su trayectoria, al parecer de', 'el cielo mientras, objeto estaba flotando, en el cielo, de la foto, Después de la, se pudo observar', 'en el cielo, de quilpue, quilpue \n\n en, cielo de dia, el cielo de']"
8,7,29,7_words_dfn_removed_02142023,"['words', 'dfn', 'removed', '02142023', '02152023', '03062023', '03202023', '08082023', '04272023', '07032023']","['Words 08/09/2023 dfn, Removed Words 08/09/2023, Web Address moved, saw large object', 'Words 07/03/2023 dfn, Removed Words 07/03/2023, Web address moved', 'Removed Words 08/08/2023, Words 08/08/2023 dfn']"
9,8,24,8_finger_arm_arms_joints,"['finger', 'arm', 'arms', 'joints', 'paradigm', 'elbow', 'thumbs', 'noodle', 'touch', 'print']","['naked body strapped, looked exactly like, long finger print', 'Hand print left, looked like people, month old sleeping, singed arm hair', 'arm thumbs apart, extended arm thumbs']"
